scenario,training_strategy,lambda_coral,eval_set,num_features,source_train_samples,target_adapt_samples,test_samples,parameters,best_epoch,best_val_f1_attack,training_time_seconds,accuracy,precision_attack,recall_attack,f1_attack,roc_auc_attack,pr_auc_attack,inference_time_seconds,inference_ms_per_sample
CICIoT2023-to-CICIoMT2024,Source-only FT-Transformer,0.0,CICIoT2023 internal aligned test,38,200000,0,120000,143234,15,0.978941300145817,132.14850509999997,0.9789583333333334,0.9959273128893644,0.96185,0.9785920794933317,0.9931907784722223,0.9951145753364877,1.132682100000011,0.009439017500000091
CICIoT2023-to-CICIoMT2024,Source-only FT-Transformer,0.0,CICIoMT2024 held-out target test,38,200000,0,806059,143234,15,0.978941300145817,132.14850509999997,0.9780239411755219,0.978890129352565,0.9990435119497495,0.9888641481393936,0.9143616298282626,0.9975999273362658,7.602375600000016,0.009431537393664752
CICIoT2023-to-CICIoMT2024,Domain-aligned FT-Transformer-CORAL,0.05,CICIoT2023 internal aligned test,38,200000,200000,120000,143234,14,0.9789965192291366,250.27002240000002,0.979,0.997783012331994,0.9601333333333333,0.978596181286947,0.9931742973611111,0.9950844357743767,1.2669740999999703,0.010558117499999752
CICIoT2023-to-CICIoMT2024,Domain-aligned FT-Transformer-CORAL,0.05,CICIoMT2024 held-out target test,38,200000,200000,806059,143234,14,0.9789965192291366,250.27002240000002,0.9765476224445109,0.977209969629027,0.9992924782948346,0.9881278653520066,0.9891850674339446,0.9997391912131547,8.470924299999979,0.010509062363921224
NF-ToN-IoT-to-NF-BoT-IoT,Source-only FT-Transformer,0.0,NF-ToN-IoT internal test,10,200000,0,120000,139650,12,0.9912399753238742,70.51549769999997,0.9857916666666666,0.9836109070128174,0.9989739337720889,0.991232896435054,0.9980270574041364,0.9994523532674892,0.557439899999963,0.004645332499999692
NF-ToN-IoT-to-NF-BoT-IoT,Source-only FT-Transformer,0.0,NF-BoT-IoT held-out target test,10,200000,0,300050,139650,12,0.9912399753238742,70.51549769999997,0.322112981169805,0.9947175720681973,0.30772038755458514,0.4700337156525047,0.7257059711765974,0.991273684472263,1.3667223000001059,0.004554981836360959
NF-ToN-IoT-to-NF-BoT-IoT,Domain-aligned FT-Transformer-CORAL,0.05,NF-ToN-IoT internal test,10,200000,200000,120000,139650,14,0.9913107840340475,127.28035250000005,0.985925,0.9835149141061738,0.9992434057107322,0.9913167757424953,0.9982396005914509,0.9995446887073093,0.5341306999999915,0.004451089166666596
NF-ToN-IoT-to-NF-BoT-IoT,Domain-aligned FT-Transformer-CORAL,0.05,NF-BoT-IoT held-out target test,10,200000,200000,300050,139650,14,0.9913107840340475,127.28035250000005,0.4134910848191968,0.9950636485047251,0.40161708515283845,0.5722632988678401,0.7772600128901304,0.9930269762781954,1.3507137000000284,0.0045016287285453375
